event_message,id,identifier,method,path,search,status_code,timestamp
HEAD | 200 | 54.246.177.27 | 9ca480cc2c871b83 | https://eeqayafsbxvrvpiycbir.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/c165916,473ff083-b2d0-4f2e-bcee-4c0dab757815,eeqayafsbxvrvpiycbir,HEAD,/rest-admin/v1/ready,null,200,1770484251554000
GET | 200 | 54.246.177.27 | 9ca480cc2e9cb0d8 | https://eeqayafsbxvrvpiycbir.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/c165916,c3b74762-adb5-44b3-95de-3f0a71abfb6d,eeqayafsbxvrvpiycbir,GET,/auth/v1/health,null,200,1770484251547000
POST | 200 | 3.81.130.252 | 9ca47e6b088dd6e1 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/get_active_giveaway_for_user | node,3ba55478-2999-4835-8444-51afd6f18d04,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/get_active_giveaway_for_user,null,200,1770484154092000
PATCH | 200 | 3.81.130.252 | 9ca47e6acfccd6e1 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/users?telegram_id=eq.7224027730&select=* | node,9edf3858-1cc1-461b-8321-4ff9030b3da6,eeqayafsbxvrvpiycbir,PATCH,/rest/v1/users,?telegram_id=eq.7224027730&select=*,200,1770484154057000
GET | 200 | 3.81.130.252 | 9ca47e6a7ee3d6e1 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/users?select=*&telegram_id=eq.7224027730 | node,585c5da4-c7c6-4074-9306-a55a40d33068,eeqayafsbxvrvpiycbir,GET,/rest/v1/users,?select=*&telegram_id=eq.7224027730,200,1770484154009000
POST | 200 | 3.81.130.252 | 9ca47e5e68a938a3 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/get_leaderboard_stats | node,f6359d35-a6d9-4179-acce-53fcaaa0b4ec,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/get_leaderboard_stats,null,200,1770484152080000
POST | 200 | 3.81.130.252 | 9ca47e5e2aedd6e1 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/get_user_rank | node,a1525ff8-d1dd-44fa-8f1b-986bf6c29e05,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/get_user_rank,null,200,1770484152035000
POST | 200 | 3.81.130.252 | 9ca47e5dcffb38a3 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/get_leaderboard | node,fef64880-1e57-4148-b0b6-a3cfd0037d67,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/get_leaderboard,null,200,1770484151979000
POST | 201 | 3.81.130.252 | 9ca47e5d68d7d6e1 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/audit_logs | node,c37052f2-a4fc-48a2-abcf-0cdadc4ab745,eeqayafsbxvrvpiycbir,POST,/rest/v1/audit_logs,null,201,1770484151915000
HEAD | 200 | 3.81.130.252 | 9ca47e40ed7ca3be | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/story_chapters?select=*&theme_id=eq.bd084d1b-5640-43af-a32c-1a2694685886&is_active=eq.true | node,06ccbf0a-9afc-415c-bf09-565c1191416e,eeqayafsbxvrvpiycbir,HEAD,/rest/v1/story_chapters,?select=*&theme_id=eq.bd084d1b-5640-43af-a32c-1a2694685886&is_active=eq.true,200,1770484147384000
HEAD | 200 | 3.81.130.252 | 9ca47e40eb5dd6a3 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/story_chapters?select=*&theme_id=eq.bee8bb3a-2c7f-4687-9724-9836103d8fe7&is_active=eq.true | node,72fde9b4-ec0a-4884-89c1-cdd8b82741ad,eeqayafsbxvrvpiycbir,HEAD,/rest/v1/story_chapters,?select=*&theme_id=eq.bee8bb3a-2c7f-4687-9724-9836103d8fe7&is_active=eq.true,200,1770484147372000
